country,osm_id,city,lat,lon
Ethiopia,298296162,መቐለ / Mekelle,13.5011216,39.4757557
Ethiopia,298296163,ነቀምት / Nekemte,9.0879679,36.5473097
Ethiopia,298296164,ሶዶ / Sodo,6.864163,37.762762
Ethiopia,298296165,ሻሸመኔ / Shashamane,7.2010144,38.5953618
Ethiopia,298296166,ሐረር / Harar,9.3139294,42.1298392
Ethiopia,298296167,ደብረ ብርሃን / Debre Birhan,9.6752117,39.5324899
Ethiopia,298296168,ድሬዳዋ / Dire Dawa,9.5944718,41.85572
Ethiopia,298296169,ዲላ / Dilla,6.41,38.31
Ethiopia,298296173,ጎዴ / Gode,5.9526975,43.5522312
Ethiopia,298296174,ደብረ ማርቆስ / Debre Markos,10.340245,37.728967
Ethiopia,298296175,ኣኽሱም / Axum,14.122015,38.7305334
Ethiopia,298296176,ኮምቦልቻ / Kombolcha,11.0813583,39.7408732
Ethiopia,298296178,አዲግራት / Adigrat,14.2775432,39.4612757
Ethiopia,313978601,ቦሆትለ بووهودل‎‎,8.228125,46.325064
Ethiopia,321250631,አድዋ / Adwa,14.1646303,38.895478
Ethiopia,321376181,ጋምቤላ / Gambella,8.2467502,34.5875721
Ethiopia,321761901,አሶሳ / Asosa,10.0632302,34.5448075
Ethiopia,1150884206,Werqamba,13.73333,39.0
Ethiopia,1150899305,Hagere Selam,13.6488093,39.1727572
Ethiopia,1150903283,አሰላ / Asella,7.95,39.13333
Ethiopia,1394787650,ሀዋሳ / Hawassa,7.0481029,38.47861
Ethiopia,1800190312,ሮቤ / Robe,7.1242676,40.0080973
Ethiopia,2503575146,ጂማ / Jimma,7.6741372,36.8392841
Kenya,27565105,Nairobi,-1.2832533,36.8172449
Kenya,44925073,Nakuru,-0.2802724,36.0712048
Kenya,44927060,Mombasa,-4.05052,39.667169
Kenya,44929227,Meru,0.0500034,37.6500063
Kenya,44929687,Malindi,-3.2165987,40.1165933
Kenya,44930353,Machakos,-1.5212477,37.2660878
Kenya,44933078,Kitui,-1.3666,38.0166
Kenya,44989844,Kisii,-0.6694119,34.7677944
Kenya,44990389,Kibwezi,-2.410343,37.965529
Kenya,44992704,Kericho,-0.3666,35.2833
Kenya,44999588,Kakamega,0.2833,34.75
Kenya,45004027,Garissa,-0.4567099,39.6404713
Kenya,413630468,Nyeri,-0.4192962,36.9517005
Kenya,1141424596,Thika,-1.036648,37.077523
Kenya,1762613339,Dadaab,0.0559176,40.3054193
Kenya,1868373176,Kisumu,-0.1029109,34.7541761
Kenya,2454265197,Embu,-0.5376699,37.4583949
Kenya,2689551456,Eldoret,0.5198329,35.2715481
Madagascar,27565116,Antananarivo,-18.9100122,47.5255809
Madagascar,254609408,Toliara,-23.354173,43.66966
Madagascar,254616067,Antsiranana,-12.2779134,49.2913394
Madagascar,254618037,Mahajanga,-15.7181492,46.3172577
Madagascar,300272255,Antsirabe,-19.871403,47.034667
Madagascar,316843071,Fianarantsoa,-21.45337,47.085447
Madagascar,335711690,Toamasina,-18.1553985,49.4098352
Madagascar,3355969555,Tôlan̈aro,-25.0296943,46.9903888
Malawi,27565113,Blantyre,-15.7862543,35.0035694
Malawi,262183934,Mzuzu,-11.4607518,34.0226422
Malawi,264951312,Limbe,-15.8074399,35.0525005
Malawi,265772769,Zomba,-15.3863208,35.3268273
Malawi,3072758152,Lilongwe,-13.973456,33.7878122
Mauritius,243819778,Port-Louis,-20.1637281,57.5045331
Mauritius,365764030,Vacoas-Phoenix,-20.2988802,57.4927689
Mozambique,27564983,Matola,-25.966917,32.466956
Mozambique,27565081,Maputo,-25.966213,32.56745
Mozambique,259593578,Beira,-19.828707,34.841782
Mozambique,259593870,Quelimane,-17.87751,36.890216
Mozambique,286426799,Nampula,-15.1194063,39.2615886
Mozambique,331691755,Pemba,-12.9735663,40.5214905
Mozambique,331728890,Inhambane,-23.865961,35.384363
Mozambique,331730931,Chimoio,-19.110921,33.476659
Mozambique,335077559,Xai-Xai,-25.044479,33.64073
Mozambique,335106276,Maxixe,-23.861561,35.348934
Mozambique,335126704,Lichinga,-13.2999118,35.2458642
Mozambique,560241406,Tete,-16.160511,33.587096
Mozambique,663184240,Inchope,-19.2111458,33.9327676
Mozambique,899428278,Nacala,-14.5564782,40.6869931
Mozambique,1419408735,Manica,-18.936733,32.875955
